ts,current,voltage,shunt_voltage
1716842214.306113,38.0,5.1,3.8000000000000003
1716842214.307365,38.0,5.1,3.8000000000000003
1716842214.30862,38.0,5.1,3.8000000000000003
1716842214.309878,38.0,5.1,3.8000000000000003
1716842214.311134,38.0,5.1,3.8000000000000003
1716842214.31243,38.40243902439024,5.096,3.84
1716842214.313691,38.0,5.096,3.8000000000000003
1716842214.314948,38.09756097560975,5.096,3.81
1716842214.316208,38.09756097560975,5.096,3.83
1716842214.317464,38.292682926829265,5.1,3.84
1716842214.318728,38.40243902439024,5.1,3.84
1716842214.319991,38.40243902439024,5.096,3.8200000000000003
1716842214.321251,38.09756097560975,5.096,3.81
1716842214.32253,38.5,5.1,3.81
1716842214.323794,38.09756097560975,5.096,3.81
1716842214.325058,38.09756097560975,5.096,3.8000000000000003
1716842214.326317,38.0,5.096,3.8000000000000003
1716842214.327572,38.0,5.096,3.83
1716842214.328829,38.0,5.096,3.8000000000000003
1716842214.330086,38.0,5.096,3.8000000000000003
1716842214.331344,38.0,5.092,3.8000000000000003
1716842214.332651,38.0,5.096,3.8000000000000003
1716842214.333916,38.0,5.096,3.8000000000000003
1716842214.335171,38.0,5.096,3.8000000000000003
1716842214.336429,38.09756097560975,5.092,3.81
1716842214.337687,39.09756097560975,5.096,3.8200000000000003
1716842214.338952,38.19512195121951,5.092,3.81
1716842214.340217,38.09756097560975,5.096,3.81
1716842214.341507,38.09756097560975,5.096,3.81
1716842214.342777,38.09756097560975,5.096,3.81
1716842214.344038,38.09756097560975,5.096,3.81
1716842214.345299,38.0,5.096,3.8000000000000003
1716842214.346555,38.0,5.092,3.8000000000000003
1716842214.347814,38.0,5.092,3.8000000000000003
1716842214.349074,38.0,5.092,3.8000000000000003
1716842214.350329,38.0,5.092,3.8000000000000003
1716842214.351593,38.09756097560975,5.092,3.81
1716842214.352857,38.40243902439024,5.092,3.8000000000000003
1716842214.354116,38.0,5.092,3.81
1716842214.355413,38.09756097560975,5.096,3.81
1716842214.356742,38.09756097560975,5.096,3.8000000000000003
1716842214.358003,38.09756097560975,5.092,3.81
1716842214.359262,38.09756097560975,5.092,3.81
1716842214.360521,38.0,5.088,3.81
1716842214.361792,38.09756097560975,5.096,3.85
1716842214.363054,38.0,5.092,3.81
1716842214.365112,38.09756097560975,5.092,3.81
1716842214.366388,38.09756097560975,5.092,3.8000000000000003
1716842214.367648,38.40243902439024,5.092,3.84
1716842214.368905,38.0,5.092,3.8000000000000003
1716842214.370159,38.0,5.088,3.8000000000000003
1716842214.37145,38.0,5.092,3.8000000000000003
1716842214.372716,38.0,5.092,3.8000000000000003
1716842214.373969,38.0,5.088,3.8000000000000003
1716842214.375224,38.09756097560975,5.088,3.81
1716842214.376486,38.09756097560975,5.092,3.81
1716842214.377748,38.5,5.088,3.81
1716842214.379006,38.09756097560975,5.092,3.81
1716842214.380267,38.09756097560975,5.088,3.81
1716842214.381571,38.09756097560975,5.088,3.81
1716842214.382862,38.0,5.088,3.8000000000000003
1716842214.384121,38.09756097560975,5.092,3.81
1716842214.385384,38.0,5.088,3.8000000000000003
1716842214.386643,38.0,5.092,3.8000000000000003
1716842214.3879,38.0,5.088,3.8000000000000003
1716842214.389157,38.0,5.084,3.8000000000000003
1716842214.390412,38.09756097560975,5.088,3.81
1716842214.391724,38.0,5.084,3.8000000000000003
1716842214.392988,38.40243902439024,5.084,3.8000000000000003
1716842214.394249,38.0,5.088,3.8000000000000003
1716842214.395509,38.0,5.088,3.8000000000000003
1716842214.396763,38.0,5.088,3.8200000000000003
1716842214.398019,38.09756097560975,5.088,3.81
1716842214.399278,38.09756097560975,5.088,3.81
1716842214.400537,38.09756097560975,5.088,3.81
1716842214.401851,38.09756097560975,5.088,3.85
1716842214.403126,38.5,5.088,3.8000000000000003
1716842214.404386,38.0,5.088,3.8000000000000003
1716842214.405647,38.0,5.088,3.8000000000000003
1716842214.406908,38.0,5.088,3.8000000000000003
1716842214.408174,38.0,5.088,3.8000000000000003
1716842214.409436,38.0,5.084,3.8000000000000003
1716842214.410704,38.0,5.088,3.8000000000000003
